# Sample generated by Stan
# stan_version_major=2
# stan_version_minor=15
# stan_version_patch=0
# init=random
# enable_random_init=0
# seed=773284915
# chain_id=2
# iter=2000
# warmup=1000
# save_warmup=1
# thin=1
# refresh=200
# stepsize=1
# stepsize_jitter=0
# adapt_engaged=1
# adapt_gamma=0.05
# adapt_delta=0.8
# adapt_kappa=0.75
# adapt_t0=10
# max_treedepth=10
# sampler_t=NUTS(diag_e)
# sample_file=bad_result_2.csv
# append_samples=0
#
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,mu,sigma,rep_x.1,rep_x.2,rep_x.3,rep_x.4,rep_x.5,rep_x.6,rep_x.7,rep_x.8,rep_x.9,rep_x.10,rep_x.11,rep_x.12,rep_x.13,rep_x.14,rep_x.15,rep_x.16,rep_x.17,rep_x.18,rep_x.19,rep_x.20,rep_x.21,rep_x.22,rep_x.23,rep_x.24,rep_x.25,rep_x.26,rep_x.27,rep_x.28,rep_x.29,rep_x.30,rep_x.31,rep_x.32,rep_x.33,rep_x.34,rep_x.35,rep_x.36,rep_x.37,rep_x.38,rep_x.39,rep_x.40,rep_x.41,rep_x.42,rep_x.43,rep_x.44,rep_x.45,rep_x.46,rep_x.47,rep_x.48,rep_x.49,rep_x.50,rep_x.51,rep_x.52,rep_x.53,rep_x.54,rep_x.55,rep_x.56,rep_x.57,rep_x.58,rep_x.59,rep_x.60,rep_x.61,rep_x.62,rep_x.63,rep_x.64,rep_x.65,rep_x.66,rep_x.67,rep_x.68,rep_x.69,rep_x.70,rep_x.71,rep_x.72,rep_x.73,rep_x.74,rep_x.75,rep_x.76,rep_x.77,rep_x.78,rep_x.79,rep_x.80,rep_x.81,rep_x.82,rep_x.83,rep_x.84,rep_x.85,rep_x.86,rep_x.87,rep_x.88,rep_x.89,rep_x.90,rep_x.91,rep_x.92,rep_x.93,rep_x.94,rep_x.95,rep_x.96,rep_x.97,rep_x.98,rep_x.99,rep_x.100
-195.111,0.996883,0.0179176,3,7,0,197.837,3.11355,5.44842,-0.513524,3.0274,10.2755,1.48149,6.5263,6.89815,-4.33114,5.23086,0.116697,10.204,5.7733,8.63219,5.41838,-1.17673,1.92539,13.3062,0.475935,9.79438,6.80804,0.176366,-5.06946,-7.06507,6.84767,7.58939,-1.76783,0.020329,-3.64496,-0.614574,10.0585,0.00474422,-3.35337,1.2534,3.73985,-3.59949,0.34436,-0.0989226,-1.44292,-3.89499,5.57677,2.38922,0.538105,1.32192,10.928,0.867201,3.88567,7.3295,3.26069,5.05457,1.92074,4.71499,4.2428,2.36441,1.52827,12.4948,1.46994,4.43507,11.3765,6.12854,8.09762,-0.639656,4.92669,-1.73081,14.9694,2.92257,-3.51368,8.61994,4.26237,4.69788,9.90533,6.90443,1.46982,10.5163,8.86232,-2.77205,-1.69627,7.47282,4.1345,0.504898,1.55515,-1.85823,-0.29301,6.26437,8.68372,-4.65002,8.42472,-2.88747,6.47401,8.37192,-3.94658,-1.09782,2.17904,5.67618,-6.62672,1.52688,8.269,9.24297,-0.783864,8.53805,6.22033,12.9954
-195.504,0.995696,0.0336109,2,3,0,195.671,3.12093,5.49742,-3.74039,-5.94947,11.5592,-7.88016,8.24816,2.54781,2.74482,9.79232,7.6612,-4.13314,4.12994,-2.98216,4.46918,6.91137,16.2879,3.03305,1.42534,5.24799,4.54422,13.0237,3.01389,0.411195,-4.4287,1.95508,6.78606,7.37156,3.47203,9.05018,5.2706,3.69766,0.346091,13.3411,10.0876,6.97238,5.44996,5.49139,0.975189,8.90929,1.4532,-1.17159,2.99651,5.15368,7.77159,17.7254,1.65335,6.81933,-1.24437,3.86799,7.7738,6.25272,-9.17332,4.24422,9.02609,6.80289,-1.45147,7.20098,-3.13186,16.316,5.00909,7.51743,2.05814,4.25748,1.62523,3.34713,1.05816,-4.12792,-4.57271,-3.75672,1.78603,9.1737,-5.50832,3.36137,9.5792,3.85078,-0.347867,-1.79058,8.46845,2.44483,15.3763,-2.03002,6.98358,-9.71198,10.2633,3.38105,-4.33766,7.19536,2.55973,-0.380408,10.5646,-1.59825,-1.80664,4.03272,1.58362,8.78819,1.7209,9.72036,-0.13274,3.45702,3.89799,2.22801
-185.992,0.909872,0.0633248,3,11,0,196.222,3.86574,3.65685,2.13518,7.60579,0.949734,3.68426,7.96125,4.08496,0.63643,5.56635,2.24588,4.63724,6.05587,0.848451,-4.63481,1.94266,2.24359,-1.92762,3.85548,0.589318,3.45701,0.451774,8.04914,6.35061,7.01231,5.14845,2.37172,7.51107,0.323818,-3.46287,5.83545,-0.0937209,3.33208,2.00713,-2.45382,1.30176,1.88188,2.06463,4.56728,-0.798399,7.17592,4.41218,8.01871,5.27221,3.06255,-1.17205,-1.66247,4.92799,5.6283,5.4597,4.00128,6.05257,-2.34471,4.10798,6.92541,4.27165,4.32298,7.52607,-0.567459,6.0862,7.3462,9.45258,4.40038,0.299761,2.02526,4.87522,3.94985,5.78812,-0.326068,8.94421,9.79036,4.71356,1.75329,2.14871,2.12861,5.72134,-4.10853,1.34758,-2.09215,-3.99936,2.75355,7.19978,-2.32167,7.48392,-1.11726,4.49338,2.12754,4.79403,-4.03419,2.88504,9.67146,14.4796,9.49338,5.45019,7.07289,3.52472,9.60822,6.31223,-0.24344,5.1719,2.24532,-1.6183
-185.594,1,0.0913895,3,11,0,185.89,4.02437,3.79742,10.3086,8.67077,4.34863,7.73301,6.74212,11.4073,4.65052,2.81923,-2.92547,-2.42695,-0.891531,0.0667848,-1.48755,6.30805,8.69418,10.2243,7.3975,9.11804,9.50325,11.4336,11.7866,3.678,-0.388983,1.50287,3.45704,4.18233,-3.14158,1.02488,6.77656,2.58286,9.38566,7.95294,0.416871,4.49737,4.84628,-3.70558,4.82969,2.29273,4.52324,1.36005,5.94346,6.49365,5.70178,8.91186,11.3646,11.24,8.14254,6.88639,1.86768,4.82682,11.9469,8.30555,3.86307,14.6841,-1.74034,1.15241,4.51075,6.67157,-0.308566,3.10786,3.85495,11.2752,5.328,6.27714,11.5249,10.7952,-1.73541,6.28808,3.91196,-1.10269,3.34408,9.23088,0.827602,5.11548,4.71402,-2.17623,2.90673,1.51251,0.173566,3.72859,11.2905,3.7832,1.0435,13.1044,-0.267552,2.63859,8.55443,5.84755,5.2623,4.98398,-1.84819,7.04611,4.6453,10.5365,7.738,5.78833,1.49536,5.90687,9.12345,2.1746
-185.731,0.270192,0.174953,1,3,0,186.437,3.81825,4.14945,6.90107,6.01634,4.7839,-2.57122,15.0876,1.03733,1.62188,-0.976994,4.12492,4.13338,6.27758,1.40548,5.09584,6.48121,0.965681,-0.61891,8.16231,5.19172,2.58377,4.71399,-0.580585,5.32928,0.707714,3.53312,0.251985,7.70274,0.348148,6.52153,-4.14517,8.08111,2.81929,7.29475,0.332654,5.98931,12.5046,8.80396,4.60769,7.0996,0.325791,7.73157,3.62587,-1.92323,6.17263,8.45288,0.401384,-0.61289,3.55455,2.94922,2.43348,5.76959,5.83468,8.95731,5.94643,4.03675,-1.67985,3.90295,5.18775,9.85716,-1.51499,5.94241,8.4762,5.42801,6.41873,4.22684,3.50445,11.3292,6.12854,1.87779,3.70302,2.99584,4.45287,10.3577,-1.59962,-0.00289845,7.34648,7.29922,8.02374,7.00499,9.20185,3.21447,5.17824,5.92965,-1.8627,1.74197,3.31209,1.3453,6.8564,7.66391,7.59125,3.14512,8.25367,0.617535,6.84042,6.17844,3.05935,5.80922,3.79282,-0.325994,1.17471,4.51883
-185.782,0.999868,0.0347604,4,19,0,185.949,3.718,3.75749,6.88575,1.28793,0.183334,6.65412,4.60459,3.78707,4.59524,3.37209,3.66838,-3.03401,5.06628,3.95669,6.50912,-1.3121,2.58924,5.63658,3.98322,4.51621,0.616912,10.5639,3.03701,7.52116,-0.651056,5.89389,-0.592038,5.69818,8.76886,7.52464,2.33142,6.41859,2.84684,2.90352,2.80947,4.89306,5.14068,3.59907,3.77324,0.279335,6.13264,6.39239,11.0811,-1.74788,2.72646,-0.0142994,4.72054,2.53096,5.21249,6.92343,-1.60019,7.0482,9.10342,4.96503,1.99857,4.55407,3.81955,6.95194,9.49846,6.21959,7.92799,5.23066,5.44388,8.7582,0.632243,5.1676,-1.70264,7.8044,3.62398,1.31223,3.12527,6.17937,2.90388,3.42139,1.46226,1.88915,-2.02734,3.18117,2.99088,7.02242,4.49173,5.03562,1.08841,1.33871,1.86023,4.91005,1.53427,5.65066,5.98583,4.68982,1.33573,7.87497,9.57053,-1.31551,5.83854,-0.724945,2.42631,3.8123,11.6911,4.35193,5.1428,-3.7455
-185.918,0.998956,0.0668653,4,15,0,186.434,3.52619,3.94228,-0.598923,5.33183,6.99137,2.89157,6.43868,5.67265,6.03966,6.67239,5.6901,4.84153,6.89521,0.156814,0.903015,1.5719,6.28001,1.97881,2.53342,1.30108,-0.919816,9.60548,6.40964,0.9725,3.14525,6.41601,-6.073,-6.29753,4.45998,6.63406,7.30102,5.46052,1.44408,-0.993398,5.3455,5.09127,6.45578,5.92566,2.57387,4.72849,-5.08629,10.005,1.24279,7.43058,0.082675,6.15757,5.10239,-2.46742,1.77423,3.42535,1.59037,-1.34249,0.152026,-0.917735,-1.97014,1.46276,7.26122,3.21998,-1.74867,7.9652,3.08323,-2.3555,3.07676,2.33599,1.03964,-0.80306,7.31955,1.89711,7.35708,3.45457,3.27517,-3.89595,4.70416,3.59925,-0.171127,-0.157852,5.34418,2.54956,1.41409,6.98236,3.01329,1.38141,9.49149,0.639466,0.16313,3.96048,1.48586,2.81701,3.98031,5.95151,3.26524,2.82098,9.34201,8.86654,4.32149,6.16716,4.44537,3.36883,-0.543523,-6.03095,-0.12528,0.413645
-186.241,0.986244,0.127406,1,3,0,186.477,3.413,3.95193,4.88259,7.31986,-7.1385,4.84196,-6.86505,5.37245,3.94618,4.36596,1.6851,7.85944,7.82347,3.4426,1.67751,3.67752,2.20298,11.4871,-0.250953,5.29577,0.645326,5.61744,5.43921,-1.77702,2.09944,2.67381,8.48911,2.70415,-2.82231,2.48786,9.46149,2.84015,-4.51224,9.0234,13.7506,10.722,-0.330989,-1.80569,3.1085,-0.508638,-0.404699,-1.71236,9.17919,-0.719803,1.27474,1.05323,0.959602,3.82516,3.46959,1.21133,6.30216,6.45987,2.53299,3.88061,8.49448,3.54407,2.42314,8.22778,3.49971,1.79574,3.35469,-2.20708,6.40578,6.17144,0.891539,3.39532,10.083,-0.0303948,9.63673,1.6306,4.52723,1.89387,2.28502,4.65672,7.8357,4.18408,-6.95513,14.0712,8.24773,3.90425,6.21841,1.45942,-3.81521,4.773,8.35876,5.09298,6.00417,4.82989,1.0905,7.38166,8.59576,6.37741,4.11734,7.92052,3.82867,7.64832,1.44452,-1.33655,0.591557,6.36719,-0.802082,-3.98015
-186.241,4.05672e-08,0.231745,1,1,0,186.718,3.413,3.95193,-5.0564,6.93641,3.13967,2.54867,0.829637,2.89153,-0.769282,0.589651,6.02961,-0.490592,1.90414,5.61647,5.04876,4.28149,4.981,2.11904,11.9809,2.10015,7.05907,9.57403,1.7944,1.0303,9.28522,6.85337,2.0312,2.71041,5.62175,6.5084,5.03497,11.5419,-0.890156,8.16353,-2.81947,7.75576,0.0477404,10.2982,9.76392,-0.498742,7.54536,-3.18862,-1.92328,-2.07934,1.55284,-0.440533,2.83105,-0.0552234,3.44124,5.35736,7.44088,9.65076,6.56631,7.32301,9.23579,7.17546,0.919449,11.506,6.8194,2.92063,6.84902,9.52833,8.82816,0.344477,-1.86406,-2.9137,4.40732,8.81765,4.4019,-5.24669,7.57389,7.21059,5.21935,1.03268,4.09588,8.18098,1.70171,-0.00941532,-1.70077,1.7416,6.0799,12.835,-1.50996,4.58595,-3.47253,5.71833,2.25137,4.80718,3.61938,4.31431,-1.73799,-2.43839,2.92524,4.64015,4.30707,2.40873,-2.45135,2.00859,5.45601,0.474575,2.84209,3.98537
-186.933,0.988169,0.0215621,3,7,0,187.03,3.42469,3.64777,-0.481125,7.9524,0.677961,-2.01867,-2.74884,-1.83181,10.4393,0.1254,-2.81659,16.8239,-3.10983,1.30811,-2.74576,6.43019,6.08273,-3.13537,5.04729,1.57499,9.87905,0.489073,6.02973,4.20042,5.06283,7.3776,3.9462,8.22405,-1.04294,0.364491,11.5557,0.0452303,4.23488,7.33337,-1.3897,5.34389,6.01235,9.72269,2.70698,6.30757,4.61214,10.6356,2.54232,1.35751,5.45031,-0.869144,2.52525,5.50735,3.74477,0.647811,-5.35613,3.47854,1.93145,-0.124618,4.6937,1.95252,-3.74141,3.24657,8.08607,-3.3116,4.87793,12.6052,3.29082,2.31834,1.95713,8.45129,6.11033,5.33531,0.146929,0.767216,2.61421,-1.46353,5.38123,9.28852,2.07248,14.1423,3.12749,3.8725,7.42596,3.20331,13.7161,1.65694,2.39383,7.6921,2.87408,-0.787832,4.67675,3.78468,2.57576,2.03153,1.78255,3.44571,7.74996,-5.19996,10.947,-0.0362966,-1.53146,10.204,8.03703,4.08502,2.59692,7.83793
