# Sample generated by Stan
# stan_version_major=2
# stan_version_minor=15
# stan_version_patch=0
# init=random
# enable_random_init=0
# seed=966824467
# chain_id=3
# iter=2000
# warmup=1000
# save_warmup=1
# thin=1
# refresh=200
# stepsize=1
# stepsize_jitter=0
# adapt_engaged=1
# adapt_gamma=0.05
# adapt_delta=0.8
# adapt_kappa=0.75
# adapt_t0=10
# max_treedepth=10
# sampler_t=NUTS(diag_e)
# sample_file=good_result_3.csv
# append_samples=0
#
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,mu,sigma,rep_x.1,rep_x.2,rep_x.3,rep_x.4,rep_x.5,rep_x.6,rep_x.7,rep_x.8,rep_x.9,rep_x.10,rep_x.11,rep_x.12,rep_x.13,rep_x.14,rep_x.15,rep_x.16,rep_x.17,rep_x.18,rep_x.19,rep_x.20,rep_x.21,rep_x.22,rep_x.23,rep_x.24,rep_x.25,rep_x.26,rep_x.27,rep_x.28,rep_x.29,rep_x.30,rep_x.31,rep_x.32,rep_x.33,rep_x.34,rep_x.35,rep_x.36,rep_x.37,rep_x.38,rep_x.39,rep_x.40,rep_x.41,rep_x.42,rep_x.43,rep_x.44,rep_x.45,rep_x.46,rep_x.47,rep_x.48,rep_x.49,rep_x.50,rep_x.51,rep_x.52,rep_x.53,rep_x.54,rep_x.55,rep_x.56,rep_x.57,rep_x.58,rep_x.59,rep_x.60,rep_x.61,rep_x.62,rep_x.63,rep_x.64,rep_x.65,rep_x.66,rep_x.67,rep_x.68,rep_x.69,rep_x.70,rep_x.71,rep_x.72,rep_x.73,rep_x.74,rep_x.75,rep_x.76,rep_x.77,rep_x.78,rep_x.79,rep_x.80,rep_x.81,rep_x.82,rep_x.83,rep_x.84,rep_x.85,rep_x.86,rep_x.87,rep_x.88,rep_x.89,rep_x.90,rep_x.91,rep_x.92,rep_x.93,rep_x.94,rep_x.95,rep_x.96,rep_x.97,rep_x.98,rep_x.99,rep_x.100
-164.741,0.428573,0.125,3,7,0,187.3,3.5676,1.00867,2.81554,4.69474,3.64044,3.50089,3.07749,3.36483,3.75783,1.90448,2.20448,6.65618,4.1199,3.61357,1.74311,3.65413,2.73506,4.67384,2.70553,4.01453,3.62784,4.8081,5.86742,2.61653,3.18103,3.93668,4.33233,4.39262,3.75992,2.13448,2.27511,3.62271,2.00705,3.18647,5.42187,3.23356,5.06591,4.53854,4.00719,2.41478,4.48494,3.30079,0.863514,5.13941,3.91518,1.09306,4.82291,4.35567,3.95222,4.38043,3.63683,3.44095,2.97517,3.84892,3.84655,3.69417,2.67418,3.89619,3.00725,2.35374,4.14858,3.20457,3.4621,2.48175,1.62597,3.69949,4.62647,3.34644,4.08837,3.30609,4.30911,3.20479,1.86944,2.71426,2.68494,1.86024,4.77421,2.97143,3.0422,6.00131,3.85081,3.01162,2.79286,3.2848,4.0572,3.18007,4.42786,3.19016,4.35685,4.55836,6.22329,4.75241,4.00529,5.68246,4.97202,4.42161,2.80279,2.02822,5.56795,3.36299,4.94848,3.65239
-164.741,0,5.08993,0,1,1,164.767,3.5676,1.00867,2.36343,4.15474,4.0437,4.24556,4.10345,1.48946,3.38966,3.56554,2.1219,3.69043,3.77389,3.18952,2.90152,4.41007,3.91117,4.2585,3.50684,4.27873,4.55628,4.24798,2.57249,3.7821,5.70197,4.91959,3.08654,5.10836,4.08829,4.4777,4.08239,3.66743,3.80596,3.07614,2.63242,3.26807,4.13142,3.41156,3.71792,2.68332,3.8123,4.75384,3.40804,3.42396,2.89937,3.39294,4.31892,3.13176,4.53897,1.81737,3.33979,4.77147,2.96995,4.21369,1.85927,3.80985,1.34257,5.21159,3.3875,3.14018,3.87081,2.74412,3.19063,4.32961,4.31902,3.94113,2.84514,3.98486,4.69715,2.59168,3.14105,2.26827,2.9416,4.32188,4.66528,3.58087,4.69504,4.49925,3.2049,2.93034,3.59032,4.42901,3.6197,3.43121,5.43409,4.55683,3.48113,1.24942,1.65038,4.58166,3.16936,2.24079,3.50415,5.34682,4.43753,4.98072,5.94151,2.58657,3.15921,3.39438,2.8561,3.84527
-164.741,0,0.632234,0,1,1,166.094,3.5676,1.00867,3.10946,3.23853,2.63469,4.71252,2.95328,2.42102,3.17289,2.70818,4.64944,3.26543,2.38882,4.94649,4.76334,3.40039,3.27089,3.40643,4.71757,3.69122,4.87141,0.768307,4.83106,2.70358,1.93681,4.32674,3.32271,2.92693,3.92283,2.8059,4.59504,3.17473,4.4341,4.14699,2.77997,1.60167,3.31985,3.86558,5.04762,2.84446,3.97529,3.33143,4.38628,3.867,2.79395,3.97275,3.58701,3.39086,1.97511,3.5573,4.26575,2.88006,2.50667,3.81338,4.48197,2.95736,3.85543,3.00093,2.85019,4.27562,2.2719,3.09966,3.97237,4.24936,3.18053,4.34241,2.15838,3.59434,5.05527,4.59373,5.17247,2.71538,4.28826,4.29903,2.23348,5.13606,2.61548,3.20589,4.57473,5.10626,5.15123,2.16896,2.0058,1.16155,2.56155,5.63738,2.67611,4.23832,4.89629,4.8398,4.34739,2.84896,3.36283,2.80701,3.8794,3.10327,4.10275,3.95829,4.86839,4.1418,4.50938,4.31625
-120.326,1,0.052305,2,3,0,151.009,3.53097,1.35088,4.01761,3.71302,2.14865,4.33594,3.71214,2.93747,1.98071,5.33079,3.56142,4.534,4.10269,2.45217,1.8209,4.84288,1.59537,2.89201,5.61714,2.68422,4.21652,1.48328,2.30777,2.23658,3.81806,4.65317,4.57176,4.9249,3.49345,2.90943,3.49465,3.84236,2.69387,4.51832,2.2975,5.62421,2.84738,0.322531,4.26664,1.9718,0.976645,6.61188,2.245,2.38963,5.54227,3.76931,1.18811,1.6727,6.76176,2.8464,2.98975,3.62196,5.34777,2.41606,4.22355,1.53911,2.87301,4.39117,1.58761,3.43392,2.59407,3.15966,3.66455,1.63414,0.482894,4.94795,2.36641,2.95215,2.46625,1.16555,4.39449,4.7657,3.67952,4.0346,4.00124,3.50701,1.44474,3.57537,3.5971,4.33257,5.38547,5.75969,3.21036,3.09053,3.5852,1.7886,1.97713,2.9566,3.11839,4.06156,3.45506,1.16286,2.63447,2.76549,3.09951,2.72031,3.20677,4.99235,2.93523,3.50822,3.14511,5.02707
-111.502,1,0.0633782,2,3,0,122.036,3.14265,2.25984,4.69122,4.07866,3.01048,0.641934,1.42583,0.307974,4.35581,-3.31599,3.57547,4.42552,4.12057,4.16296,1.35515,2.96446,8.64464,6.47197,2.39528,7.29258,0.696226,6.95375,7.13107,1.47336,8.79454,1.27738,6.03153,5.47427,6.33539,4.1128,4.11476,4.97521,5.9176,5.25932,3.29162,4.04127,1.64979,4.69997,4.19977,1.66412,4.43738,2.77021,2.07236,1.06664,3.16981,0.997368,4.26915,-3.25847,1.76756,1.79569,3.90333,4.18903,2.42255,1.15961,2.77994,2.63032,6.17948,2.79888,-0.793256,2.63084,3.97879,5.11173,1.56627,5.57386,3.25556,2.7567,4.70641,1.83294,3.6085,2.76741,2.7363,-3.6439,0.921354,-0.4428,4.53915,3.34019,3.15492,3.09054,3.43729,1.1187,5.97667,3.51538,-1.87513,0.500913,5.16145,3.36399,9.65699,3.84756,5.15676,0.60552,0.619523,1.12477,2.00137,-2.25462,1.56717,0.0080282,1.79619,5.12921,1.62411,-0.943917,4.95141,1.02277
-108.895,0.941613,0.092319,2,7,0,110.849,3.24614,1.55579,2.39092,2.67798,1.83708,3.28839,3.96345,1.66883,2.33897,-0.581524,3.65439,2.12347,1.71795,1.86663,4.61924,3.80347,0.594448,2.81426,3.38679,3.62545,1.70422,4.30373,2.80993,3.4755,3.1802,4.13043,3.43468,7.14466,1.57717,3.43315,5.68458,6.53859,1.20637,3.19636,5.91403,4.55161,3.52225,3.34184,5.34242,4.5328,0.258417,2.2852,1.33009,3.79701,1.90415,4.65427,3.51349,3.11237,4.80347,6.21958,4.85161,5.43635,1.6645,3.5314,2.13774,4.27157,4.21118,1.80459,2.85917,5.71028,5.64946,-0.313665,1.15158,4.90667,4.97455,4.35954,3.84419,2.30411,5.75505,3.592,4.65424,3.38313,2.84669,4.42031,4.76305,4.14703,1.34871,6.60993,3.9851,2.81269,3.12787,2.90128,3.81419,-0.0322603,2.29449,2.60657,5.85146,3.30458,4.94683,2.28982,2.23235,2.44354,4.18614,2.63951,2.03834,0.802806,0.954165,3.27339,5.98102,3.56443,1.53666,2.40749
-108.895,0.144069,0.125518,1,3,0,111.564,3.24614,1.55579,4.50005,3.02843,1.05591,2.27037,5.28191,1.7932,2.83343,1.30107,3.35065,3.11755,4.92485,3.98424,4.42781,2.94594,4.95521,5.50837,1.99243,3.82927,2.47767,3.88993,2.95039,2.43091,2.29772,6.88325,2.32004,5.00335,2.32283,0.852284,4.92175,1.88257,3.12665,4.46497,6.50484,3.64318,-0.379625,5.2228,2.51743,3.979,3.57058,4.02634,2.4802,6.12396,0.206912,6.07197,5.37538,4.86953,6.39563,3.97239,2.44538,5.8753,2.3803,3.2183,5.04274,4.12713,0.361719,3.24926,4.58416,4.1646,4.65958,3.41679,4.1359,2.66913,3.86813,0.959658,7.33572,3.10977,3.73303,4.25577,0.598104,3.15685,2.15586,3.6507,3.67205,0.056503,3.62622,2.65469,1.98853,3.95201,4.00064,1.63595,3.38142,3.59941,3.22696,5.90427,5.16554,2.06735,2.9164,4.7449,4.99198,2.9112,5.82441,3.38054,6.98513,5.34062,6.50681,2.2812,0.447313,3.77712,6.04508,3.47807
-108.049,0.999392,0.0151522,2,5,0,109.039,3.23867,1.6027,3.15924,4.41389,2.92455,5.69177,3.6784,3.40329,6.4941,-0.930966,3.49811,4.29323,5.48984,3.85066,1.45701,3.19617,1.72189,1.40808,2.61029,3.49082,5.70448,0.391075,1.52738,2.33497,0.687888,5.04718,0.181755,4.58462,1.50887,2.24903,5.26072,3.38628,3.42237,1.74204,-1.46454,4.9276,3.16467,3.49633,1.07057,0.467472,2.785,1.99213,4.40772,4.33855,3.57354,3.89279,3.42879,6.27306,3.24479,2.77305,1.97147,2.28271,1.62666,4.20784,4.10367,0.114045,6.54591,2.73322,2.92104,2.69156,3.00904,1.20421,4.67974,3.34952,3.6774,4.9956,1.50989,3.63834,2.88562,3.02747,4.31116,3.3362,4.13396,3.88426,2.18787,2.75757,3.94737,3.69216,3.24486,0.701545,3.50571,4.78901,6.70456,3.42148,5.93606,6.44649,4.18377,3.56358,4.51302,2.30329,1.52203,3.9667,2.40473,3.27581,2.35366,5.26519,4.08203,2.71319,3.57473,4.64053,4.50821,3.2587
-106.848,0.991088,0.0266317,2,5,0,108.575,3.22559,1.74231,4.19755,2.96103,-0.110184,0.230095,5.29727,3.87934,2.48074,2.38862,1.25538,1.71951,2.62768,2.95564,0.573231,1.55982,1.21467,2.41425,2.83005,2.53229,2.64584,1.34351,2.92649,4.05381,0.437377,3.12406,3.33149,4.81571,0.0968294,4.50732,3.54679,3.71293,0.195146,2.1482,4.48249,6.20282,2.00592,0.0597788,2.56371,2.4499,3.72738,4.53201,3.52816,1.60313,1.85312,5.4298,4.27715,2.94469,-0.622787,2.28082,4.98397,4.69475,6.54266,3.14433,2.67566,4.3082,3.22504,4.80698,2.06837,0.389331,2.60295,4.00592,5.96924,4.03724,6.11723,4.54063,2.28996,6.04268,4.62814,2.34468,1.46808,4.44518,4.42933,1.55088,5.53602,0.457704,4.07298,0.99755,5.87628,2.74266,3.29908,4.28857,2.05194,1.4757,4.25025,4.64661,1.34726,1.16476,3.32743,3.21062,2.78462,4.32964,2.15,2.12867,3.55657,2.42296,4.08402,4.53108,5.2111,2.63948,3.50339,1.85773
-107.687,0.972228,0.047317,3,7,0,108.057,3.35632,1.71826,2.83925,2.34624,4.24378,2.68584,5.29321,3.53817,6.55273,3.31371,2.79847,2.58865,3.30101,3.6522,1.43576,5.29147,0.402598,4.23985,5.01735,5.1347,5.47569,0.40385,5.43598,3.42043,5.09364,4.01225,0.627707,5.10069,6.85748,3.79306,-0.0156862,5.27403,2.77063,4.21604,3.56654,1.64029,3.576,2.3237,4.72295,1.52174,4.41055,3.24241,5.22343,3.67742,2.79968,1.08701,0.301813,3.02186,5.25783,3.92286,5.9858,3.36345,3.23686,3.81754,7.22693,4.87278,7.54356,7.94106,5.03433,4.72862,2.06585,4.94318,4.86976,3.89694,3.40108,0.913529,3.70791,0.9291,4.11552,4.89928,5.76244,2.17776,4.37773,5.66134,7.5355,0.945598,0.531839,1.50389,3.5844,5.4046,3.01429,7.54708,5.57755,2.93273,3.38066,2.55807,5.71696,2.10074,4.52275,0.44865,0.0218915,5.55507,5.98617,2.98639,3.87243,0.756592,3.36101,3.36568,2.354,7.24256,3.00071,5.17953
