# stan_version_major = 2
# stan_version_minor = 15
# stan_version_patch = 0
# model = plummer2d_angle_model
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
# id = 0 (Default)
# data
#   file = plum.data.R
# init = 2 (Default)
# random
#   seed = 2176169100
# output
#   file = output.csv (Default)
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,rhalf,ell,x0,y0,paV.1,paV.2,norm
# Adaptation terminated
# Step size = 0.196356
# Diagonal elements of inverse mass matrix:
# 0.0149357, 0.353937, 0.0203416, 0.0262842, 0.152704, 0.288605
-408.138,0.935777,0.196356,4,15,0,410.844,2.57217,0.425178,-0.239765,-0.137243,-0.453786,-0.891111,0.0836985
-405.933,0.93508,0.196356,4,31,0,411.345,2.16289,0.333413,-0.265191,-0.310178,-0.553015,-0.833171,0.102076
-405.239,0.922212,0.196356,4,31,0,406.675,2.11525,0.440197,-0.182895,-0.194706,-0.557138,-0.83042,0.127084
-405.269,0.883526,0.196356,4,15,0,407.214,2.08799,0.448277,-0.180938,-0.281456,-0.427889,-0.903832,0.132334
-405.193,0.982012,0.196356,3,7,0,406.256,2.14293,0.397344,-0.137479,-0.252318,-0.415162,-0.909748,0.115017
-409.024,0.863085,0.196356,4,15,0,411.956,1.74931,0.113381,-0.385332,-0.290811,-0.663244,-0.748403,0.117322
-407.138,0.97516,0.196356,4,31,0,411.571,1.81247,0.391051,-0.359918,-0.174069,-0.396715,-0.917942,0.159121
-407.517,1,0.196356,4,15,0,409.348,1.71401,0.227588,-0.329567,-0.398647,-0.620514,-0.784195,0.140273
-407.16,0.973705,0.196356,3,7,0,410.404,1.79318,0.214732,-0.318066,-0.387445,-0.578286,-0.815834,0.126062
-406.773,0.733987,0.196356,4,23,0,408.527,1.94631,0.464741,-0.279142,-0.261239,-0.432251,-0.901754,0.156987
-406.639,0.755511,0.196356,4,23,0,408.687,1.83155,0.201734,-0.224765,-0.0914828,-0.487017,-0.873392,0.118868
-408.144,0.95884,0.196356,4,23,0,411.026,1.91954,0.375086,-0.135726,-0.419429,-0.40616,-0.913802,0.138241
-406.348,0.997738,0.196356,4,15,0,410.079,1.80272,0.307078,-0.396105,-0.371444,-0.478507,-0.878084,0.141354
-407.374,0.994614,0.196356,4,15,0,408.349,2.14582,0.38187,-0.0134912,0.000143339,-0.451396,-0.892324,0.111837
-405.54,0.289971,0.196356,4,15,0,410.357,2.19528,0.443996,-0.199648,-0.0427229,-0.464936,-0.885344,0.118793
-406.003,0.624134,0.196356,4,15,0,407.938,1.70154,0.240988,-0.279805,-0.318791,-0.608135,-0.793833,0.144849
-408.047,0.939771,0.196356,4,15,0,410.147,2.14616,0.386113,-0.308455,-0.300724,-0.377088,-0.926178,0.112574
-409.274,0.986625,0.196356,4,15,0,411.233,2.03376,0.361385,-0.369884,-0.357939,-0.305348,-0.952241,0.120507
-408.252,0.99786,0.196356,4,15,0,410.477,2.17922,0.385457,-0.382659,-0.368221,-0.408703,-0.912667,0.109068
-408.02,0.941522,0.196356,4,23,0,411.877,1.96322,0.398558,-0.072702,-0.147107,-0.676546,-0.7364,0.137315
-410.969,0.989607,0.196356,4,15,0,413.237,2.15965,0.3819,-0.183002,0.151193,-0.221407,-0.975182,0.110414
-408.845,0.997287,0.196356,4,31,0,412.665,2.19619,0.41187,-0.164531,-0.123245,-0.651268,-0.758848,0.112212
-407.692,0.984877,0.196356,4,15,0,412.032,1.75121,0.254794,-0.404182,-0.536258,-0.563794,-0.825915,0.139282
-406.685,0.982167,0.196356,4,15,0,408.598,1.82682,0.32512,-0.415812,-0.412575,-0.354664,-0.934994,0.141329
-406.774,0.985272,0.196356,4,15,0,408.671,2.05343,0.280395,-0.354939,-0.324467,-0.66085,-0.750518,0.104905
-408.501,0.987437,0.196356,4,15,0,411.631,1.56306,0.224441,-0.284514,-0.331523,-0.314977,-0.949099,0.16799
-408.054,0.992195,0.196356,4,15,0,409.479,1.84997,0.202929,-0.185773,-0.219258,-0.754299,-0.656531,0.116687
-406.398,1,0.196356,3,7,0,408.51,1.76912,0.227079,-0.277485,-0.239625,-0.550165,-0.835056,0.131583
