# Sample generated by Stan
# stan_version_major=2
# stan_version_minor=15
# stan_version_patch=0
# init=random
# enable_random_init=0
# seed=2102757686
# chain_id=1
# iter=2000
# warmup=1000
# save_warmup=1
# thin=1
# refresh=200
# stepsize=1
# stepsize_jitter=0
# adapt_engaged=1
# adapt_gamma=0.05
# adapt_delta=0.8
# adapt_kappa=0.75
# adapt_t0=10
# max_treedepth=10
# sampler_t=NUTS(diag_e)
# sample_file=output_1.csv
# append_samples=0
#
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,beta,sigma
-2310.13,1,0.0078125,4,15,0,13431.5,-1.4892,1.75098,8.1071
-2310.13,0,14.3855,0,1,1,2311.57,-1.4892,1.75098,8.1071
-2310.13,0,2.43117,0,1,1,2310.81,-1.4892,1.75098,8.1071
-2310.13,0,0.239791,0,1,1,2311.93,-1.4892,1.75098,8.1071
-777.531,1,0.0186273,2,3,0,1875.32,-1.45748,1.81927,16.5348
-572.647,1,0.0257257,2,3,0,737.595,-1.412,1.80147,22.9169
-485.48,1,0.0404064,1,1,0,547.885,-1.41089,1.80757,30.9652
-450.683,1,0.0687243,1,1,0,472.439,-1.51616,1.78496,43.228
-439.322,0.467243,0.122801,3,7,0,450.002,-1.25328,2.52884,54.4582
-436.829,1,0.0420339,3,7,0,439.671,-1.25229,2.63952,50.4426
-410.018,0.794816,0.0785187,3,15,0,437.41,-1.46973,4.60763,37.5772
-372.91,0.578122,0.0776694,3,15,0,410.749,-0.741161,6.4856,26.5158
-370.63,0.986385,0.0391871,3,7,0,373.364,-0.723526,6.60182,26.6389
-368.825,0.737998,0.0720392,3,13,1,374.83,-0.919982,6.67836,24.3885
-368.448,0.98792,0.0610058,2,3,0,369.714,-0.892982,6.68932,24.0136
-354.238,0.488663,0.112773,2,3,0,369.536,-0.937996,7.26467,21.4296
-353.719,0.91757,0.0446334,3,7,0,355.465,-0.962764,7.31509,22.5617
-344.842,0.93481,0.0665272,2,3,0,354.585,-0.826299,7.58023,18.3032
-344.842,0.146001,0.104067,2,5,1,345.747,-0.826299,7.58023,18.3032
-247.889,0.933747,0.0151147,5,35,0,347.673,0.222376,11.4258,2.86898
