# Sample generated by Stan
# stan_version_major=2
# stan_version_minor=15
# stan_version_patch=0
# init=random
# enable_random_init=0
# seed=2102757686
# chain_id=3
# iter=2000
# warmup=1000
# save_warmup=1
# thin=1
# refresh=200
# stepsize=1
# stepsize_jitter=0
# adapt_engaged=1
# adapt_gamma=0.05
# adapt_delta=0.8
# adapt_kappa=0.75
# adapt_t0=10
# max_treedepth=10
# sampler_t=NUTS(diag_e)
# sample_file=output_3.csv
# append_samples=0
#
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,beta,sigma
-44967.3,1,0.00195312,1,1,0,144546,-1.7097,-0.920274,2.2663
-44967.3,0,14.3855,0,1,1,44968.5,-1.7097,-0.920274,2.2663
-44967.3,0,2.43117,0,1,1,44968.3,-1.7097,-0.920274,2.2663
-44967.3,0,0.239791,0,1,1,44970.9,-1.7097,-0.920274,2.2663
-44967.3,0,0.0186273,0,1,1,44968.7,-1.7097,-0.920274,2.2663
-25536.5,1,0.00130482,2,3,0,43997.7,-1.70837,-0.895607,3.00483
-12986.7,1,0.00189104,4,15,0,24853.9,-1.71011,-0.87308,4.22004
-5639.1,1,0.00305706,3,7,0,12514.1,-1.70615,-0.83574,6.45562
-4296.56,1,0.00530085,1,1,0,5468.62,-1.70475,-0.823718,7.44064
-2178.77,1,0.00961161,2,3,0,3807.33,-1.7269,-0.768492,10.7603
-894.304,1,0.0179176,2,3,0,1803.27,-1.69529,-0.745462,19.34
-541.717,1,0.0339435,1,1,0,777.327,-1.67723,-0.680901,34.3232
-470.058,1,0.0648221,2,7,0,518.852,-1.71197,-0.580504,63.3075
-471.113,0.521736,0.124086,1,1,0,471.178,-1.7159,-0.590229,73.2206
-460.6,0.982912,0.0533798,5,31,0,471.662,-2.12894,0.513695,60.7824
-460.275,0.944051,0.0972378,3,7,0,461.72,-2.35478,0.581593,59.2812
-460.275,0.0324842,0.156411,2,3,0,461.64,-2.35478,0.581593,59.2812
