# Sample generated by Stan
# stan_version_major=2
# stan_version_minor=15
# stan_version_patch=0
# init=random
# enable_random_init=0
# seed=2102757686
# chain_id=0
# iter=2000
# warmup=1000
# save_warmup=1
# thin=1
# refresh=200
# stepsize=1
# stepsize_jitter=0
# adapt_engaged=1
# adapt_gamma=0.05
# adapt_delta=0.8
# adapt_kappa=0.75
# adapt_t0=10
# max_treedepth=10
# sampler_t=NUTS(diag_e)
# sample_file=output_0.csv
# append_samples=0
#
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,beta,sigma
-46068.4,1,0.00195312,2,3,0,138286,-1.66612,-1.82603,2.40733
-46068.4,0,14.3855,0,1,1,46069.6,-1.66612,-1.82603,2.40733
-46068.4,0,2.43117,0,1,1,46068.8,-1.66612,-1.82603,2.40733
-46068.4,0,0.239791,0,1,1,46070,-1.66612,-1.82603,2.40733
-46068.4,0,0.0186273,0,1,1,46068.8,-1.66612,-1.82603,2.40733
-39390.2,1,0.00130482,1,1,0,45595,-1.66547,-1.81843,2.60253
-14789.1,1,0.00189104,5,31,0,37686.8,-1.65964,-1.78176,4.25055
-11372.5,1,0.00305706,1,1,0,14396.4,-1.65488,-1.76694,4.85131
-6132.74,1,0.00530085,5,31,0,10277.1,-1.64869,-1.7417,6.65019
-2247.29,1,0.00961161,5,31,0,5076.79,-1.6317,-1.69294,11.4059
-890.612,1,0.0179176,1,1,0,1851.46,-1.62153,-1.63728,20.9952
-541.35,1,0.0339435,1,1,0,781.333,-1.6034,-1.58022,38.0225
-480.266,1,0.0648221,1,1,0,517.044,-1.55423,-1.56511,61.5136
-463.735,0.485282,0.124086,4,15,0,478.824,-0.97607,0.0227726,64.843
-455.391,0.982117,0.0476446,4,15,0,464.981,-0.271753,0.775875,59.5407
-453.715,0.920756,0.0866392,2,3,0,455.571,-0.280061,0.920546,56.159
-447.913,0.922899,0.129827,3,7,0,454.135,-0.415228,1.50329,54.3376
-447.002,0.185037,0.195138,2,3,0,449.199,-0.231536,1.59307,55.8165
-445.512,0.999015,0.0312066,4,15,0,447.796,-0.0351642,1.65624,51.4121
-444.89,0.993639,0.0594538,3,7,0,446.08,-0.145064,1.73103,50.5671
-443.291,0.994153,0.11046,2,3,0,445.077,-0.0917269,1.86753,51.4411
-443.291,0.00900651,0.203636,2,5,1,444.477,-0.0917269,1.86753,51.4411
-439.47,0.994326,0.0207064,5,31,0,444.568,0.199206,2.15255,47.9105
-434.885,0.998627,0.0383921,4,15,0,440.04,0.52294,2.48971,47.6874
-436.987,0.826599,0.0713594,3,7,0,438.093,0.497598,2.31404,47.4596
-407.613,0.923053,0.0803133,4,15,0,439.75,-0.0759516,4.52959,35.838
-407.613,0.377037,0.118586,2,3,0,408.467,-0.0759516,4.52959,35.838
-391.857,0.979543,0.0375366,4,15,0,408.51,0.412725,5.36909,31.3934
-349.151,0.882148,0.0648794,4,15,0,392.475,0.981301,7.14528,21.0175
-335.885,0.660181,0.0849175,2,3,0,351.938,0.757206,7.60538,17.0706
-328.198,0.841792,0.0602499,2,3,0,337.179,0.777206,7.9165,18.7878
-324.706,0.979106,0.070404,2,3,0,328.827,0.86578,7.93522,16.8998
-318.05,0.385203,0.118784,1,1,0,325.986,0.929129,8.08385,14.0669
-316.225,0.857927,0.0406488,4,15,0,320.003,0.930473,8.15181,15.6477
-273.239,0.751112,0.0495367,3,7,0,319.413,1.29011,8.98519,10.344
-267.93,0.920362,0.0454381,2,3,0,273.894,1.28754,9.0732,9.83875
-259.591,0.597621,0.0648936,2,5,0,268.299,1.30195,9.21887,9.43783
