# Sample generated by Stan
# stan_version_major=2
# stan_version_minor=15
# stan_version_patch=0
# init=random
# enable_random_init=0
# seed=2102757686
# chain_id=2
# iter=2000
# warmup=1000
# save_warmup=1
# thin=1
# refresh=200
# stepsize=1
# stepsize_jitter=0
# adapt_engaged=1
# adapt_gamma=0.05
# adapt_delta=0.8
# adapt_kappa=0.75
# adapt_t0=10
# max_treedepth=10
# sampler_t=NUTS(diag_e)
# sample_file=output_2.csv
# append_samples=0
#
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,beta,sigma
-43.0927,0.850909,0.0122312,2,3,0,43.3238,5.41808,9.97573,1.004
-40.5638,0.982245,0.0140913,3,15,0,43.5179,5.43921,9.92617,0.903651
-40.4891,0.974159,0.0212696,3,7,0,40.7349,5.43919,9.928,0.900029
-40.7047,0.0656967,0.0314343,4,23,0,41.0342,5.45484,9.92356,0.894767
-40.7824,1,0.00719692,4,23,0,41.2341,5.48326,9.93192,0.946614
-42.0768,0.905354,0.0112253,2,3,0,42.2366,5.48765,9.90494,0.956147
-45.9782,0.844908,0.0143843,5,63,0,47.4073,4.80541,9.99581,0.871713
-42.5548,0.999334,0.0162734,4,19,0,47.3157,5.3024,9.92443,0.996508
-45.5201,0.744128,0.025066,4,15,0,50.2946,5.51198,9.96136,1.09746
-44.5657,1,0.0230893,1,1,0,45.4201,5.50967,9.95071,1.09407
-43.2544,0.424154,0.0353915,2,5,0,45.1607,5.56721,9.8982,1.026
-40.9333,0.875219,0.0172927,4,31,0,49.08,4.99558,9.99174,0.891099
-40.0096,0.960648,0.0206719,4,31,0,41.6614,5.38392,9.94174,0.90509
-40.8664,0.152285,0.0291605,3,7,0,42.4128,5.40055,9.92636,0.951772
-40.2479,0.999298,0.00847535,4,19,0,41.2417,5.38082,9.95848,0.919092
-41.04,0.990253,0.0128959,4,19,0,41.3311,5.48904,9.94243,0.881771
-41.3964,0.983195,0.019205,3,11,0,42.7608,5.35261,9.95036,1.02677
-41.3964,0.0586347,0.0281088,1,1,0,43.5182,5.35261,9.95036,1.02677
-40.6979,0.991601,0.0069824,5,31,0,42.5278,5.41131,9.95906,0.923419
-40.2813,0.994848,0.0103937,2,7,0,40.8901,5.41306,9.94929,0.925286
-39.9801,0.980436,0.0155101,4,31,0,42.3274,5.31019,9.96245,0.857654
-41.8597,0.562939,0.0224412,3,15,0,43.1333,5.24221,9.99769,0.854084
-39.7698,0.998661,0.0147576,4,27,0,42.2285,5.31499,9.95856,0.878535
-40.3854,0.91869,0.0220224,4,23,0,45.1175,5.04256,10.0013,0.939447
-39.6405,0.78614,0.0282105,4,23,0,41.0427,5.27258,9.96172,0.889249
-40.1134,0.408575,0.0281917,3,7,0,42.6483,5.24593,9.97944,0.94397
-40.5727,0.95615,0.014017,4,27,0,41.3377,5.2871,9.94113,0.942444
-40.3089,0.934463,0.0192078,4,15,0,42.349,5.41293,9.93226,0.906919
-40.1734,0.984711,0.025226,4,31,0,42.5557,5.07714,10.0007,0.917104
-40.1589,0.531562,0.0362274,1,3,0,40.322,5.09052,9.98086,0.916921
-39.6584,0.869543,0.72816,2,5,0,40.8524,5.23592,9.96349,0.90391
-39.6584,0,8.26304,0,1,1,39.8292,5.23592,9.96349,0.90391
-39.6584,1.86761e-09,1.30167,1,1,0,40.2334,5.23592,9.96349,0.90391
-40.4974,0.98748,0.123335,3,7,0,40.8074,5.16828,9.95859,0.897724
-41.0245,0.999815,0.156966,4,23,0,41.793,5.45498,9.9512,0.947171
-40.0828,0.998915,0.241014,2,3,0,41.0989,5.36259,9.94998,0.944322
-43.6474,0.465971,0.404218,2,3,0,44.6381,5.51902,9.9638,0.949656
-40.955,0.997373,0.136221,3,7,0,44.3825,5.38726,9.92714,0.959036
-40.4893,0.993555,0.243753,4,15,0,42.6244,5.33819,9.94896,0.830851
-42.2864,0.769193,0.441843,2,3,0,42.9597,5.32964,9.96985,0.78758
-40.3594,0.996139,0.399274,3,7,0,42.5349,5.13904,9.97366,0.845981
-40.7213,0.779094,0.744329,3,7,0,40.8387,5.29156,9.94551,0.980276
-40.9302,0.94798,0.701703,3,7,0,41.294,5.25466,9.95635,1.00623
-40.9302,0.0274903,1.12756,1,3,1,41.9245,5.25466,9.95635,1.00623
-40.9052,0.993866,0.102445,4,15,0,42.2993,5.16802,9.96566,0.994565
-41.3539,0.998289,0.191883,5,31,0,42.0043,5.10248,9.98767,0.802213
-41.9177,0.897689,0.3622,3,7,0,42.4865,5.09083,9.97447,0.806533
-42.0249,0.969221,0.499077,2,3,0,43.7265,5.0636,9.98811,0.793119
-42.0249,0.00396714,0.850965,3,7,0,43.9753,5.0636,9.98811,0.793119
-41.6692,0.999433,0.0790923,6,63,0,43.4661,5.00942,10.0205,0.844952
-40.2679,0.990453,0.148768,4,31,0,43.0156,5.16058,9.98211,0.971675
-39.7962,0.987078,0.269883,3,7,0,40.5582,5.22252,9.97163,0.939207
-41.1453,0.950149,0.480229,2,7,0,41.609,5.23971,9.97201,0.79829
-41.1453,0.000422197,0.760378,1,1,0,43.0672,5.23971,9.97201,0.79829
-40.8342,0.997018,0.0773946,3,15,0,42.2494,5.25948,9.97746,0.821159
-41.8024,0.995202,0.141264,4,15,0,42.7181,5.3008,9.9665,0.785677
-41.9742,0.947255,0.253967,3,15,0,43.8179,5.36204,9.96637,0.803325
-39.8515,0.815511,0.395165,2,5,0,44.1435,5.29996,9.96797,0.88811
-40.7302,0.957609,0.422893,3,7,0,40.9961,5.11633,10.0046,0.862363
-41.9137,0.836402,0.669323,2,3,0,42.9007,4.96898,10.0325,0.898006
-40.9836,0.813636,0.754341,2,3,0,42.3915,5.15931,10.0045,0.879834
-40.8911,0.262751,0.797607,3,7,0,42.0572,5.28592,9.94815,0.995907
-40.7402,0.999915,0.191047,5,31,0,41.9735,5.4388,9.92299,0.899904
-40.8467,0.842869,0.335693,3,11,0,45.0529,5.24247,9.99234,0.891947
-40.1909,1,0.385495,1,1,0,40.7152,5.22022,9.98792,0.893017
-41.6387,0.603745,0.667645,3,7,0,42.136,5.1637,10.011,0.924379
