# Sample generated by Stan
# stan_version_major=2
# stan_version_minor=15
# stan_version_patch=0
# init=random
# enable_random_init=0
# seed=2102757686
# chain_id=4
# iter=2000
# warmup=1000
# save_warmup=1
# thin=1
# refresh=200
# stepsize=1
# stepsize_jitter=0
# adapt_engaged=1
# adapt_gamma=0.05
# adapt_delta=0.8
# adapt_kappa=0.75
# adapt_t0=10
# max_treedepth=10
# sampler_t=NUTS(diag_e)
# sample_file=output_4.csv
# append_samples=0
#
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,beta,sigma
-30783.3,1,0.00195312,1,1,0,233659,1.93934,0.297385,2.33245
-30783.3,0,14.3855,0,1,1,30783.7,1.93934,0.297385,2.33245
-30783.3,0,2.43117,0,1,1,30784.3,1.93934,0.297385,2.33245
-30783.3,0,0.239791,0,1,1,30785.9,1.93934,0.297385,2.33245
-30783.3,0,0.0186273,0,1,1,30783.8,1.93934,0.297385,2.33245
-13536.4,1,0.00130482,3,7,0,30297.6,1.94667,0.333002,3.51615
-9451.68,1,0.00189104,2,3,0,13389.7,1.95648,0.346826,4.21409
-5112.46,1,0.00305706,2,3,0,9216.45,1.96055,0.371875,5.77123
-2105.48,1,0.00530085,3,7,0,4903.41,1.9601,0.421972,9.2991
-872.995,1,0.00961161,2,3,0,2010.75,2.00293,0.482865,16.4572
-531.278,1,0.0179176,3,7,0,847.469,1.93521,0.600787,28.2513
-400.144,0.981818,0.0339435,5,55,0,524.041,1.95096,5.95951,16.6149
-379.894,1,0.0612148,2,3,0,394.427,2.03202,5.98898,20.1634
-370.884,0.911811,0.11721,3,7,0,379.456,1.71378,6.34946,29.3944
-370.884,4.46412e-06,0.170207,2,7,1,371.648,1.71378,6.34946,29.3944
-258.623,0.943818,0.0146436,5,43,0,375.372,2.11367,9.21479,10.544
-246.855,0.95815,0.0238487,3,7,0,259.571,2.04817,9.35928,9.29129
-246.949,0.863858,0.0404244,2,3,0,249.071,2.01083,9.40362,9.55885
-240.085,0.849387,0.0511983,2,3,0,249.558,2.10224,9.38736,8.36035
-232.2,0.832495,0.0619608,1,1,0,240.343,2.13832,9.47172,7.75698
-232.2,0.686992,0.0711775,1,1,0,232.368,2.13832,9.47172,7.75698
-200.062,0.572766,0.0531123,2,6,1,233.634,2.13652,9.87223,6.2273
-192.486,0.976257,0.0285182,3,7,0,201.53,2.06003,9.9198,5.66676
-183.862,0.896032,0.0500343,2,3,0,193.204,2.0776,9.94914,5.04973
-133.496,0.804054,0.0690391,2,3,0,181.125,2.08983,10.3516,3.16234
-122.876,0.666667,0.0728752,1,3,0,133.115,2.21515,10.4752,2.74092
-110.648,0.990821,0.0520911,2,3,0,122.365,2.29106,10.4134,2.16802
-110.648,2.62799e-07,0.0930939,1,3,1,112.551,2.29106,10.4134,2.16802
-111.065,0.998188,0.0104345,4,15,0,111.517,2.27548,10.3859,2.1598
-107.01,0.970919,0.0191073,3,7,0,112.429,2.33107,10.4063,1.93387
-107.994,0.85443,0.0321468,2,3,0,108.634,2.34448,10.4615,1.90996
-106.902,1,0.0390786,1,1,0,107.925,2.35557,10.4436,1.88974
-105.62,0.402184,0.0700866,2,5,0,107.988,2.45241,10.3859,2.01837
-103.584,0.981504,0.0252052,2,3,0,106,2.51505,10.4053,1.93157
-62.2809,0.949462,0.042784,3,15,0,104.017,3.93717,10.1543,1.1948
-62.2809,3.50887e-16,0.066188,1,1,0,62.7314,3.93717,10.1543,1.1948
-59.9412,0.984608,0.008542,5,31,0,63.472,4.02376,10.1326,1.085
-42.9104,0.986177,0.0145527,4,31,0,61.3207,4.79774,10.0299,0.9676
-42.9104,0.449451,0.0246853,1,3,0,44.7635,4.79774,10.0299,0.9676
-42.9741,0.997781,0.0105731,2,3,0,42.9974,4.79636,10.0289,0.970503
-41.2075,0.864543,0.0183597,4,19,0,45.9585,5.08844,9.99258,0.809751
-39.732,0.991338,0.0226244,4,19,0,42.5077,5.24792,9.97179,0.874457
-39.732,0.166294,0.0381179,1,1,0,40.2104,5.24792,9.97179,0.874457
-40.1592,0.991323,0.00827294,4,23,0,43.971,5.23874,9.95988,0.961532
-40.105,0.954893,0.0139283,5,31,0,41.1595,5.09054,9.99809,0.885309
-40.7953,0.452265,0.0212928,4,15,0,42.9139,5.09474,10.0025,0.976046
-41.6591,0.999439,0.00957502,5,31,0,42.73,4.91896,10.0038,0.948159
-42.6219,0.999574,0.0162327,3,7,0,42.8512,4.87792,10.0191,1.01345
-43.1193,0.909191,0.0273239,3,7,0,44.7329,4.98968,9.99857,1.07138
-43.1193,0.0035454,0.0368468,2,5,1,47.1822,4.98968,9.99857,1.07138
-42.7229,1,0.00585303,5,31,0,43.8165,4.9394,10.0203,1.04133
-45.2153,0.996236,0.00982,3,15,0,45.3463,4.9353,10.0072,1.13372
-43.983,0.863334,0.016218,4,15,0,46.7991,4.95519,10.0111,0.770632
-42.748,0.522227,0.0195694,2,7,0,47.3306,5.00405,10.0358,0.879561
-40.8652,0.998425,0.0107606,3,11,0,43.288,4.97288,10.0009,0.897305
-42.7596,0.988257,0.0176688,3,15,0,43.7287,5.01158,9.99839,0.784206
-42.7596,0.0942594,0.0281698,1,3,0,45.3164,5.01158,9.99839,0.784206
-41.0103,0.990978,0.00595339,4,23,0,43.6759,5.01759,10.0097,0.846886
-44.1317,0.817642,0.00955479,3,7,0,45.3443,5.00265,9.96992,0.825751
-41.4693,0.982652,0.0103633,5,31,0,44.88,5.11441,10.014,0.954969
-40.6158,1,0.0161758,2,7,0,41.7389,5.09053,9.98279,0.974132
-40.2454,0.811087,0.0260876,3,11,0,40.8812,5.11643,9.98936,0.847096
-41.14,0.745851,0.0276727,4,23,0,42.9015,5.51839,9.92969,0.953185
-41.7412,0.991901,0.0254501,4,15,0,42.264,5.49607,9.93394,0.825344
-41.7412,0.0104992,0.0398762,1,1,0,42.6258,5.49607,9.93394,0.825344
-42.4574,0.987437,0.00753565,5,31,0,43.7693,5.499,9.94216,1.03099
-41.3855,0.989685,0.0117119,4,15,0,43.0277,5.52704,9.91227,0.941663
-41.9005,0.65356,0.0181972,4,15,0,44.7991,5.47135,9.93921,0.812238
-43.2454,0.789198,0.0138213,4,15,0,45.0961,5.36663,9.94112,1.09341
-41.2499,0.967665,0.0140022,4,31,0,44.6878,5.13446,10.0008,0.824921
-41.4934,0.879686,0.020598,3,15,0,45.3972,5.01034,10.0042,1.00801
-41.0921,0.984822,0.025125,4,31,0,43.8563,5.21043,9.97486,1.02021
-40.4803,0.874393,0.038011,2,3,0,41.3047,5.22493,9.96423,0.986597
-40.4803,0.0280236,0.0456076,1,3,1,41.3211,5.22493,9.96423,0.986597
-40.3081,0.9788,0.00964796,5,39,0,41.1995,5.25466,9.97663,0.966107
-41.0016,0.992615,0.0143905,4,15,0,41.2787,5.16368,9.97346,0.808013
-42.3413,0.990851,0.0219813,3,7,0,42.6395,5.13178,9.98757,0.773482
-41.959,0.330003,0.03331,2,3,0,42.7467,5.12065,9.99477,0.787999
-42.4613,0.999988,0.0133403,5,31,0,43.418,5.5067,9.91969,1.03627
-42.3226,1,0.0205486,1,1,0,42.4721,5.50729,9.92087,1.03097
-40.2554,0.372216,0.0315149,3,7,0,43.5898,5.37163,9.93529,0.916223
-41.1755,0.946008,0.0139029,3,15,0,41.8844,5.43196,9.95903,0.875972
-40.1221,1,0.0191247,4,31,0,41.4503,5.09622,9.98621,0.940666
-40.8706,0.500919,0.0291511,3,7,0,41.2798,5.13184,10.0072,0.931101
-40.7947,0.936497,0.0167214,4,19,0,42.8051,5.05876,9.97751,0.888626
-42.4081,0.904068,0.022452,4,23,0,43.8767,5.54421,9.94771,0.92968
-39.9359,0.489713,0.0282353,4,15,0,42.3764,5.30159,9.95106,0.867004
-39.9239,0.984197,0.0159694,4,15,0,40.1068,5.28187,9.97156,0.928717
-39.9815,0.996752,0.0233944,3,7,0,40.0635,5.28684,9.96972,0.9403
-39.9815,0.00172962,0.034977,1,1,0,40.8383,5.28684,9.96972,0.9403
-39.9298,0.998497,0.0078874,5,31,0,40.2165,5.23995,9.95917,0.863874
-40.3258,0.974856,0.0118435,5,47,0,42.0375,5.04118,10.0025,0.883509
-40.3557,0.958432,0.0169477,4,31,0,41.534,5.13994,9.98516,0.834727
-40.3557,0.0276817,0.0234414,1,1,0,42.577,5.13994,9.98516,0.834727
-40.135,0.998781,0.00570073,5,31,0,40.9929,5.20976,9.97811,0.84127
-40.401,0.997936,0.00851243,4,23,0,41.3885,5.23912,9.97237,0.9838
-39.9273,0.997492,0.0126464,4,19,0,40.6773,5.23617,9.9752,0.857041
-41.0041,0.754147,0.0187082,4,31,0,42.0491,5.35556,9.97287,0.871353
-44.2714,0.674006,0.0176559,3,15,0,45.0665,5.45419,9.89145,0.903726
-41.4032,0.990129,0.0144001,3,15,0,44.7615,5.41173,9.92642,0.831725
-41.4032,0.027956,1.3376,2,5,1,44.753,5.41173,9.92642,0.831725
-41.4032,0,3.28624,1,2,1,43.8899,5.41173,9.92642,0.831725
-39.7752,0.820439,0.328939,4,15,0,44.9973,5.23759,9.97251,0.933444
-40.1664,0.997853,0.214147,3,15,0,40.2665,5.25347,9.96786,0.970034
-39.929,0.997412,0.279597,3,15,0,40.7385,5.3335,9.9454,0.915034
-39.7591,0.841167,0.425674,3,15,0,41.415,5.2237,9.96493,0.872324
-40.0293,0.996764,0.439971,3,7,0,40.1463,5.20516,9.97668,0.845479
-41.5463,0.358594,0.767034,2,7,0,42.2911,5.15511,9.95461,0.979687
-42.4858,0.998285,0.186369,4,31,0,43.658,5.05209,10.0281,0.980161
-40.3609,0.996593,0.341459,4,15,0,42.5653,5.08325,9.97805,0.896862
-40.1628,0.961159,0.632587,3,7,0,41.0146,5.12929,9.99215,0.94949
-40.1628,0.0448707,1.05609,2,3,0,41.6525,5.12929,9.99215,0.94949
-40.3597,0.994978,0.0986849,5,63,0,41.4603,5.07563,9.98109,0.928129
-39.9066,0.999601,0.18585,3,15,0,40.6017,5.12401,9.98166,0.924687
-40.5178,0.9913,0.354527,3,7,0,40.7873,5.23457,9.97034,0.818868
-40.1213,0.408218,0.656156,2,5,0,41.9049,5.29495,9.97477,0.893537
-40.7565,0.9864,0.200698,4,23,0,42.8928,5.22613,9.99422,0.904476
-41.159,0.982141,0.365831,3,15,0,42.7069,5.517,9.92533,0.865918
-40.5649,0.977544,0.653318,2,7,0,42.1631,5.31671,9.9531,0.823198
-41.0338,0.533551,1.1414,2,5,0,41.4265,5.25802,9.96473,0.800824
-40.2442,0.462837,0.526288,2,3,0,43.0349,5.24812,9.95943,0.837513
-40.5323,0.994379,0.199552,5,31,0,41.8484,5.2633,9.96008,0.820577
-39.9737,0.999577,0.365564,4,15,0,40.8155,5.30871,9.95812,0.853367
-39.9461,0.326315,0.673278,2,7,0,42.8973,5.33896,9.95138,0.865083
-39.8739,0.996725,0.176379,5,31,0,40.3122,5.26547,9.96189,0.855757
-40.352,0.980615,0.321073,3,15,0,40.7241,5.18907,9.96682,0.836839
-40.3237,0.996392,0.552859,3,7,0,41.0841,5.38285,9.93937,0.951057
-40.3237,0.549386,0.986117,2,3,0,41.4178,5.38285,9.93937,0.951057
-40.1032,1,0.50162,2,3,0,40.3585,5.37578,9.94283,0.935615
-41.3795,0.162365,0.895811,2,3,0,42.2335,5.29704,9.93092,0.882957
-40.4244,0.99989,0.159816,4,23,0,42.0131,5.25913,9.9852,0.895373
-41.474,0.995377,0.285289,4,15,0,42.6237,5.52544,9.91255,0.874921
-40.7622,0.972318,0.498353,3,7,0,41.9418,5.41557,9.92572,0.941746
-40.7622,0.0430143,0.811114,1,1,0,41.783,5.41557,9.92572,0.941746
-40.2844,0.99998,0.111562,5,31,0,40.9362,5.39913,9.95028,0.941071
-41.0527,0.982067,0.196064,3,15,0,42.0685,5.44241,9.95613,0.887614
-40.7415,0.874358,0.325903,3,7,0,43.5094,5.39601,9.93763,0.979574
-40.9382,0.996943,0.40665,3,7,0,41.5138,5.51426,9.92147,0.902356
-44.1169,0.591608,0.692746,2,3,0,44.5727,5.47554,9.90411,1.06988
-43.1992,0.962695,0.41654,3,15,0,44.933,5.50629,9.90079,1.02231
-41.1347,0.993397,0.645255,3,7,0,43.2488,5.51341,9.93621,0.883929
-41.1347,0.0288801,1.07255,3,9,0,41.4528,5.51341,9.93621,0.883929
-40.2994,0.995209,0.159849,4,15,0,41.8118,5.32034,9.94121,0.869593
-40.0875,1,0.267576,3,7,0,40.4032,5.37668,9.94766,0.866892
-41.2134,0.939963,0.449802,3,7,0,41.8436,5.51659,9.9285,0.861895
-44.3417,0.764114,0.648245,3,7,0,45.9074,4.77285,10.0635,0.976896
-42.0182,0.99539,0.607011,2,3,0,44.7113,4.90372,10.0062,0.97215
-40.6566,0.341089,0.992239,2,3,0,41.7157,4.98461,10.0062,0.919262
-39.8774,1,0.337446,4,15,0,40.6931,5.11161,9.98874,0.911949
-40.5635,0.957729,0.556054,2,7,0,41.6294,5.0288,9.99992,0.952706
-42.2114,0.889956,0.411885,2,3,0,42.4253,5,10.0308,0.973817
-42.2114,0,4.85073,0,1,1,43.7326,5,10.0308,0.973817
-42.2114,0.00243316,0.772583,2,3,0,46.0876,5,10.0308,0.973817
-42.0476,0.999947,0.0741439,6,63,0,43.4429,5.09134,9.97165,1.02794
-42.8033,0.992972,0.0982137,3,7,0,42.9304,5.06821,9.96459,1.02228
-41.3391,0.997917,0.148407,5,31,0,44.2347,4.9236,10.0203,0.885416
-42.8984,0.941538,0.24871,4,15,0,45.2299,5.16487,9.99892,0.780423
-41.9618,0.99531,0.368812,3,15,0,44.0451,5.25341,9.95374,0.78559
-41.4292,0.253552,0.665669,2,3,0,43.2388,5.26824,9.94305,0.824051
-41.2907,0.977284,0.11749,3,7,0,43.4134,5.25194,9.95158,0.809596
-41.0644,0.979621,0.204801,3,15,0,44.359,5.42297,9.95438,0.975694
-41.3838,0.886616,0.362422,2,3,0,42.5716,5.38125,9.96952,0.97294
-40.5317,0.817444,0.479572,2,7,0,44.6023,5.23738,9.94675,0.90817
-42.6021,0.945793,0.511369,2,7,0,43.9356,5.56591,9.93541,0.847384
-41.1488,0.150996,0.814959,3,7,0,43.8304,5.23714,9.94875,0.830919
-41.4221,0.999506,0.110221,5,31,0,43.0836,5.5076,9.92074,0.848757
-40.9343,0.997308,0.208812,4,15,0,42.0551,5.4646,9.93613,0.8479
-40.3839,0.999158,0.389986,3,7,0,41.3603,5.39185,9.93334,0.934432
-39.8156,0.363124,0.726282,3,7,0,40.6035,5.13011,9.98117,0.90644
-40.9931,0.989791,0.198057,4,23,0,42.4766,5.37886,9.94824,1.00287
-40.2783,0.996056,0.357577,4,15,0,42.0616,5.04251,10.0024,0.893673
-39.9491,0.9771,0.651594,3,7,0,41.1741,5.09146,9.98988,0.902852
-39.9491,0.0499762,1.11229,1,3,0,42.6575,5.09146,9.98988,0.902852
-40.1704,0.999201,0.127145,5,31,0,40.7408,5.17545,9.97567,0.838985
-39.636,0.997658,0.23254,3,15,0,40.8889,5.28032,9.9621,0.897741
-39.8131,0.971315,0.419199,4,15,0,39.9841,5.2527,9.96439,0.859738
-39.9168,0.998068,0.69445,3,7,0,40.0096,5.31689,9.95499,0.941543
-39.9168,0.0414837,1.22974,1,3,1,42.3738,5.31689,9.95499,0.941543
-40.7801,0.997363,0.15025,5,31,0,41.3953,5.18005,9.9755,1.00382
-39.9271,0.997114,0.266437,3,15,0,41.2238,5.16345,9.98883,0.878287
-40.6142,0.955578,0.467673,3,7,0,41.1248,5.37237,9.94652,0.830701
-42.8662,0.835845,0.726541,3,7,0,44.3423,4.8836,10.0271,1.02794
-42.8662,0.0905015,0.811642,3,7,0,44.4136,4.8836,10.0271,1.02794
-41.8787,0.997533,0.123536,4,15,0,43.2555,4.96837,10.0091,1.01421
-42.4135,0.988697,0.214486,3,7,0,42.7468,5.01431,10.0216,1.02577
-44.5804,0.954822,0.360641,3,7,0,46.8927,5.11904,9.99685,1.13611
-44.5804,0.259846,0.550549,1,3,0,49.808,5.11904,9.99685,1.13611
-41.4313,0.996084,0.138162,4,15,0,45.5278,4.99812,9.98936,0.976473
