# Sample generated by Stan (Variational Bayes)
# stan_version_major=2
# stan_version_minor=15
# stan_version_patch=0
# init=random
# enable_random_init=0
# seed=1
# chain_id=1
# iter=10000
# grad_samples=1
# elbo_samples=100
# output_samples=1000
# eval_elbo=100
# eta=1
# tol_rel_obj=0.01
# algorithm=meanfield
# sample_file=output.csv
# append_samples=0
#
lp__,theta.1,theta.2,theta.3,mu.1.1,mu.2.1,mu.3.1,mu.1.2,mu.2.2,mu.3.2,sigma.1.1,sigma.2.1,sigma.3.1,sigma.1.2,sigma.2.2,sigma.3.2
# Stepsize adaptation complete.
# eta = 1
0,0.256508,0.296491,0.447001,-9.9814,-1.65968,-7.04689,-3.98396,4.43689,-8.14201,0.694648,0.570384,0.730182,0.758808,0.662954,0.87126
0,0.259611,0.300458,0.439932,-9.97199,-1.64259,-7.04458,-3.98824,4.44062,-8.1266,0.693379,0.560751,0.733957,0.740662,0.662726,0.877708
0,0.261321,0.298883,0.439796,-9.98033,-1.63412,-7.04551,-3.95652,4.43086,-8.16699,0.696661,0.573526,0.724893,0.755352,0.668537,0.880782
0,0.257508,0.300601,0.441892,-9.98322,-1.66189,-7.03234,-3.98876,4.42444,-8.14913,0.709051,0.56938,0.725537,0.747916,0.669385,0.857349
0,0.257408,0.302926,0.439666,-10.0113,-1.62691,-7.03142,-3.99396,4.4579,-8.14245,0.683096,0.55584,0.735169,0.741929,0.668471,0.881835
0,0.258652,0.308688,0.432659,-10.01,-1.65456,-7.03912,-4.00389,4.45016,-8.13911,0.69978,0.574266,0.737281,0.747106,0.672724,0.863681
0,0.268063,0.294412,0.437525,-9.97366,-1.64982,-7.06571,-3.98013,4.42584,-8.16136,0.686653,0.576052,0.726131,0.739965,0.668997,0.870907
0,0.260226,0.29878,0.440994,-9.9884,-1.62483,-7.06721,-3.9996,4.45515,-8.15756,0.68683,0.576229,0.722615,0.73615,0.668047,0.850712
0,0.255731,0.303438,0.440831,-9.99963,-1.63994,-7.03829,-3.99139,4.44418,-8.14879,0.703285,0.578101,0.748477,0.741673,0.668287,0.878121
0,0.256403,0.305161,0.438436,-9.9862,-1.63334,-7.04766,-3.98116,4.4385,-8.14205,0.694551,0.569888,0.738139,0.752242,0.663237,0.899647
0,0.256743,0.311818,0.431439,-9.97524,-1.63142,-7.04056,-3.98623,4.44612,-8.16323,0.685704,0.573953,0.728306,0.764728,0.68388,0.880643
0,0.258453,0.303645,0.437902,-9.98477,-1.63876,-7.04494,-4.03024,4.42778,-8.13606,0.690361,0.578837,0.727941,0.747925,0.655679,0.875876
0,0.257277,0.299582,0.443141,-9.97038,-1.6465,-7.05051,-3.94103,4.44851,-8.16026,0.690518,0.578066,0.72313,0.74072,0.671969,0.881892
0,0.258821,0.304719,0.436459,-9.99351,-1.63193,-7.03293,-3.98009,4.44067,-8.15007,0.700505,0.570978,0.738217,0.765402,0.675819,0.88503
0,0.254452,0.3068,0.438748,-9.99799,-1.64339,-7.05251,-3.97804,4.43261,-8.14358,0.707773,0.553345,0.72853,0.736625,0.656764,0.86906
0,0.252302,0.312806,0.434893,-9.99634,-1.64518,-7.03053,-3.98349,4.42974,-8.15921,0.681897,0.565302,0.71647,0.741754,0.663446,0.873385
0,0.263099,0.305963,0.430938,-9.98016,-1.63221,-7.06502,-3.98841,4.45017,-8.17076,0.691582,0.569076,0.729458,0.752423,0.649693,0.886812
0,0.257671,0.301813,0.440516,-9.98894,-1.65408,-7.04125,-3.97373,4.43713,-8.1555,0.701046,0.575779,0.742689,0.757467,0.662434,0.876287
0,0.258992,0.302421,0.438588,-9.99002,-1.63656,-7.04892,-3.98286,4.42469,-8.14978,0.70219,0.57197,0.726917,0.74155,0.662361,0.882766
0,0.265981,0.298592,0.435427,-10.02,-1.63225,-7.04852,-3.96717,4.44822,-8.14998,0.696556,0.568914,0.735645,0.75747,0.667551,0.864324
0,0.262513,0.303814,0.433672,-9.97157,-1.63004,-7.04915,-3.9937,4.44612,-8.15806,0.698565,0.560655,0.732833,0.742791,0.680967,0.877083
0,0.259939,0.304371,0.435691,-9.99805,-1.64758,-7.05369,-3.98771,4.44625,-8.15003,0.69143,0.569448,0.7329,0.743268,0.665288,0.885433
0,0.253208,0.306304,0.440488,-10.0018,-1.64762,-7.04132,-3.96281,4.43291,-8.14681,0.701476,0.571586,0.729084,0.752739,0.668869,0.883185
0,0.255012,0.304902,0.440085,-9.99836,-1.6343,-7.06426,-3.98804,4.42146,-8.15952,0.682212,0.557699,0.739042,0.738675,0.676921,0.875857
0,0.253374,0.299664,0.446963,-9.97156,-1.64135,-7.03612,-4.00243,4.42062,-8.15478,0.699371,0.579695,0.731211,0.738376,0.656961,0.869516
0,0.263877,0.301937,0.434186,-9.98681,-1.6425,-7.05704,-4.00322,4.43167,-8.15457,0.694263,0.579826,0.716953,0.761399,0.673656,0.863814
0,0.261893,0.299851,0.438256,-9.96087,-1.64886,-7.02882,-3.97856,4.45169,-8.15955,0.706993,0.567836,0.720235,0.751179,0.662409,0.892527
0,0.260879,0.301986,0.437135,-9.96465,-1.64221,-7.02697,-3.95772,4.42302,-8.15332,0.688824,0.576736,0.732746,0.752802,0.672769,0.880885
0,0.261366,0.301381,0.437253,-9.99503,-1.64695,-7.01888,-3.96126,4.43874,-8.16794,0.702712,0.563726,0.721522,0.739396,0.657788,0.863649
0,0.260808,0.297443,0.441748,-9.9708,-1.64859,-7.04698,-3.95941,4.44441,-8.14696,0.688147,0.575527,0.732457,0.746609,0.674618,0.871765
0,0.270897,0.293354,0.435748,-9.97272,-1.64615,-7.05657,-3.98476,4.44997,-8.14969,0.703771,0.561562,0.730392,0.745444,0.668948,0.880238
0,0.259951,0.304551,0.435498,-9.96882,-1.64447,-7.06041,-3.97665,4.45639,-8.13626,0.685687,0.574761,0.730426,0.741815,0.653193,0.895186
0,0.258922,0.303761,0.437316,-9.99714,-1.63739,-7.05532,-3.96385,4.43477,-8.15077,0.709795,0.567773,0.738458,0.735735,0.660199,0.871424
0,0.263796,0.298569,0.437635,-9.98008,-1.6425,-7.04595,-3.99585,4.43437,-8.17034,0.697268,0.573615,0.739635,0.750738,0.6736,0.864868
0,0.254057,0.306818,0.439125,-9.98291,-1.65389,-7.04733,-3.97824,4.42936,-8.13222,0.690153,0.573993,0.732441,0.74611,0.66514,0.865472
0,0.253705,0.298532,0.447763,-10.0008,-1.64909,-7.04025,-3.99382,4.44549,-8.17006,0.676053,0.569259,0.726428,0.748961,0.66392,0.853542
0,0.262258,0.296694,0.441048,-9.98723,-1.63312,-7.05313,-3.9858,4.45289,-8.16782,0.690916,0.571175,0.726098,0.730287,0.65779,0.878606
0,0.26007,0.294685,0.445245,-9.9947,-1.64468,-7.05032,-3.99853,4.45825,-8.13994,0.701087,0.572826,0.730108,0.747974,0.679483,0.87173
0,0.256844,0.307143,0.436013,-9.99777,-1.6499,-7.04198,-3.98244,4.42712,-8.16037,0.690531,0.567331,0.73351,0.755582,0.67145,0.870722
0,0.256896,0.305209,0.437895,-10.0326,-1.65559,-7.03487,-3.98633,4.41972,-8.16441,0.683921,0.564824,0.719578,0.749855,0.681542,0.882187
0,0.258896,0.300343,0.440761,-9.97473,-1.65009,-7.03062,-3.97976,4.43102,-8.16914,0.669378,0.566998,0.721227,0.758272,0.673532,0.865017
0,0.252412,0.308534,0.439054,-9.98717,-1.64831,-7.03226,-3.962,4.4385,-8.15075,0.683817,0.576573,0.732072,0.750358,0.667698,0.867179
0,0.250566,0.30195,0.447484,-9.9648,-1.63501,-7.0591,-4.01115,4.46581,-8.18832,0.686599,0.564977,0.748604,0.737853,0.653416,0.885119
0,0.255735,0.296775,0.44749,-10.033,-1.63357,-7.04664,-4.01004,4.42655,-8.15335,0.694748,0.577215,0.722971,0.755474,0.662342,0.89171
0,0.25901,0.309985,0.431005,-9.99956,-1.6586,-7.05283,-3.97163,4.44849,-8.14963,0.695092,0.569685,0.7246,0.745725,0.672554,0.872023
0,0.253378,0.310858,0.435764,-9.98874,-1.65956,-7.03179,-3.98391,4.42145,-8.14683,0.697308,0.568684,0.716987,0.765424,0.661144,0.874483
0,0.262315,0.308428,0.429257,-9.97823,-1.62315,-7.04744,-3.97831,4.4412,-8.13614,0.702335,0.56537,0.722159,0.756035,0.678451,0.868433
0,0.256974,0.314757,0.42827,-9.99505,-1.63995,-7.03427,-3.98484,4.44084,-8.15281,0.684672,0.562464,0.723339,0.744603,0.683109,0.871731
0,0.265022,0.29429,0.440688,-9.96361,-1.64212,-7.03392,-3.98013,4.45088,-8.14508,0.68764,0.570745,0.721636,0.740665,0.680386,0.879576
0,0.262515,0.30465,0.432835,-10.0058,-1.6405,-7.05007,-3.97077,4.43993,-8.15041,0.698946,0.561927,0.727244,0.748198,0.66837,0.873715
0,0.258193,0.300016,0.441791,-10.0131,-1.65895,-7.05245,-3.99668,4.45059,-8.13834,0.694544,0.555365,0.737363,0.770177,0.653626,0.890734
0,0.258186,0.299945,0.441869,-9.9921,-1.62701,-7.04086,-3.98455,4.44935,-8.15743,0.715919,0.570847,0.725049,0.781521,0.663293,0.87663
0,0.261442,0.293787,0.444771,-10.0212,-1.64722,-7.03694,-4.00408,4.42625,-8.15592,0.693898,0.567736,0.722885,0.737513,0.67229,0.856695
0,0.257868,0.30565,0.436482,-9.97127,-1.65234,-7.05558,-3.9788,4.45172,-8.14963,0.693111,0.570682,0.729154,0.743422,0.669374,0.875139
0,0.253801,0.304693,0.441506,-10.0031,-1.63507,-7.0456,-3.97077,4.44961,-8.15798,0.69452,0.562196,0.733557,0.731891,0.659858,0.865194
0,0.258262,0.30461,0.437128,-9.96912,-1.65399,-7.03905,-3.96201,4.45554,-8.18262,0.682901,0.5717,0.722804,0.752398,0.659172,0.878468
0,0.26104,0.304545,0.434415,-9.97152,-1.63484,-7.02557,-3.98122,4.46332,-8.15247,0.703707,0.567831,0.719308,0.744217,0.667525,0.896485
0,0.262298,0.30037,0.437332,-9.96071,-1.63398,-7.05082,-3.97726,4.43412,-8.16385,0.697086,0.571519,0.725862,0.756963,0.663082,0.881088
0,0.261057,0.306222,0.432721,-10.0177,-1.64876,-7.04815,-3.95189,4.42994,-8.15917,0.704254,0.556385,0.715579,0.758211,0.663982,0.878931
0,0.258814,0.309195,0.431992,-9.99669,-1.66604,-7.03909,-3.99367,4.44298,-8.15057,0.6969,0.571876,0.725126,0.757766,0.669721,0.878139
0,0.251472,0.302937,0.445592,-9.99147,-1.64478,-7.03988,-3.97556,4.44068,-8.14698,0.705831,0.568847,0.724178,0.743816,0.666849,0.871774
0,0.256847,0.307879,0.435274,-10.0085,-1.62624,-7.05257,-3.96091,4.45172,-8.15337,0.714908,0.56843,0.725989,0.730288,0.669705,0.872098
0,0.254009,0.310222,0.435769,-9.98069,-1.63704,-7.03681,-3.95041,4.43358,-8.16043,0.692723,0.575449,0.741324,0.761219,0.666042,0.891781
0,0.260444,0.300008,0.439549,-9.98152,-1.62311,-7.03508,-3.9704,4.42435,-8.16344,0.703948,0.563936,0.74628,0.739013,0.654007,0.869629
0,0.252711,0.308624,0.438664,-9.97935,-1.64349,-7.04928,-3.98197,4.44437,-8.13972,0.684674,0.572182,0.730628,0.756626,0.658377,0.877309
0,0.261038,0.299554,0.439407,-9.99177,-1.62355,-7.03938,-3.96714,4.43736,-8.18248,0.692813,0.577759,0.738933,0.761813,0.676549,0.885258
0,0.255112,0.303673,0.441215,-10.0026,-1.63987,-7.04848,-3.99709,4.459,-8.16456,0.72521,0.572611,0.72663,0.744308,0.661927,0.868581
0,0.252651,0.308737,0.438612,-10.0264,-1.62419,-7.02815,-3.97476,4.43694,-8.14313,0.695999,0.573811,0.715183,0.746486,0.670222,0.878078
0,0.258186,0.307547,0.434267,-9.99664,-1.6474,-7.04199,-4.01527,4.44584,-8.15074,0.698731,0.556776,0.720808,0.733656,0.660872,0.890159
0,0.256353,0.306037,0.43761,-10.0063,-1.65125,-7.03562,-3.98152,4.44204,-8.15873,0.680209,0.557947,0.732437,0.735714,0.667047,0.895562
0,0.260122,0.300373,0.439506,-9.98804,-1.63589,-7.04531,-3.96993,4.4466,-8.16643,0.703827,0.565979,0.715795,0.737146,0.678171,0.855503
0,0.25534,0.304274,0.440386,-9.98285,-1.64737,-7.0353,-3.97157,4.45466,-8.14746,0.687893,0.580496,0.725807,0.728559,0.666852,0.870554
0,0.257151,0.309318,0.433531,-9.99994,-1.62544,-7.03782,-3.95902,4.45263,-8.17084,0.685339,0.576775,0.716157,0.746932,0.659768,0.862505
0,0.26392,0.307982,0.428097,-9.9911,-1.62312,-7.04438,-3.96377,4.43056,-8.16212,0.69737,0.574262,0.730514,0.745512,0.662751,0.877667
0,0.260321,0.312952,0.426727,-9.9662,-1.63406,-7.03726,-3.9745,4.44156,-8.1459,0.694229,0.572935,0.731425,0.750433,0.67563,0.862707
0,0.253739,0.308552,0.437709,-9.98987,-1.65186,-7.04187,-3.97747,4.44601,-8.15376,0.690482,0.562458,0.73256,0.731955,0.663485,0.872089
0,0.263261,0.298794,0.437946,-9.96616,-1.63802,-7.03704,-3.97335,4.4659,-8.15341,0.703657,0.568842,0.724909,0.752067,0.662406,0.889594
0,0.262304,0.304369,0.433327,-10.029,-1.62651,-7.03479,-3.96474,4.42827,-8.14726,0.69964,0.575715,0.716144,0.744491,0.669446,0.872179
0,0.256008,0.306762,0.43723,-10.0156,-1.62186,-7.04418,-3.98973,4.42371,-8.15575,0.697844,0.585016,0.727686,0.738148,0.675459,0.887169
0,0.262032,0.300252,0.437716,-9.99045,-1.63945,-7.03634,-3.98717,4.43819,-8.14339,0.716973,0.559833,0.737629,0.754366,0.657226,0.890547
0,0.257411,0.303481,0.439109,-9.98374,-1.65531,-7.0234,-3.99105,4.42224,-8.15579,0.675293,0.563735,0.736962,0.730048,0.66799,0.85026
0,0.258674,0.303384,0.437942,-9.97686,-1.65601,-7.03863,-3.98895,4.43378,-8.13518,0.691825,0.557573,0.718113,0.758194,0.661031,0.884888
0,0.252906,0.298299,0.448795,-9.96817,-1.65016,-7.04791,-3.9654,4.44456,-8.14997,0.702407,0.570135,0.735698,0.74166,0.667229,0.880177
0,0.255752,0.300042,0.444206,-9.98757,-1.63412,-7.03634,-3.99106,4.42689,-8.17372,0.69871,0.56816,0.7456,0.750878,0.674657,0.875067
0,0.253265,0.30436,0.442374,-9.99055,-1.62691,-7.05879,-3.966,4.43808,-8.15754,0.704861,0.565541,0.723059,0.745164,0.668846,0.868252
0,0.259392,0.303422,0.437186,-9.97751,-1.64705,-7.04112,-3.98284,4.4352,-8.15976,0.703675,0.574127,0.718509,0.72713,0.667919,0.862866
0,0.255677,0.304609,0.439714,-9.99386,-1.65861,-7.06498,-3.97358,4.44684,-8.1538,0.684895,0.558987,0.726208,0.7281,0.672313,0.879561
0,0.256872,0.312376,0.430752,-10.016,-1.62378,-7.05272,-3.97506,4.42467,-8.14885,0.69391,0.572539,0.736362,0.741162,0.659195,0.882365
0,0.252455,0.288985,0.45856,-9.96445,-1.63407,-7.01151,-3.97864,4.44409,-8.16615,0.694428,0.56354,0.734314,0.737388,0.67212,0.881689
0,0.264582,0.297627,0.437792,-10.0021,-1.63334,-7.03709,-3.98198,4.4589,-8.14165,0.706596,0.559642,0.727823,0.731287,0.662462,0.870551
0,0.250746,0.308393,0.440861,-9.98336,-1.64175,-7.04688,-3.99223,4.43699,-8.1589,0.69384,0.583097,0.72639,0.735429,0.665097,0.88354
0,0.249225,0.310081,0.440694,-9.9373,-1.639,-7.04351,-3.99549,4.43102,-8.17631,0.694662,0.56318,0.723225,0.745476,0.672583,0.883869
0,0.265608,0.307205,0.427187,-9.97815,-1.63784,-7.03043,-3.99179,4.41795,-8.17975,0.68196,0.583437,0.724695,0.755138,0.674751,0.867669
